Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:33.56M (Peak 33.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_seat_pod_passenger
Fra:1 Mem:33.57M (Peak 33.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | dashboard_passenger
Fra:1 Mem:33.70M (Peak 33.70M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | mirror_passenger
Fra:1 Mem:33.68M (Peak 33.70M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | mirror_glass_passenger
Fra:1 Mem:33.71M (Peak 33.71M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wind_deflector
Fra:1 Mem:33.75M (Peak 33.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | center_tunnel
Fra:1 Mem:33.73M (Peak 33.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gauge_bezel
Fra:1 Mem:33.77M (Peak 33.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | screen_inactive_clay
Fra:1 Mem:33.76M (Peak 33.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | console_switch
Fra:1 Mem:33.79M (Peak 33.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | console_switch.001
Fra:1 Mem:33.81M (Peak 33.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | console_switch.002
Fra:1 Mem:33.84M (Peak 33.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | console_switch.003
Fra:1 Mem:33.86M (Peak 33.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gauge_bezel.001
Fra:1 Mem:33.90M (Peak 33.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | autodrive_RND.001
Fra:1 Mem:33.93M (Peak 33.93M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | autodrive_RND.002
Fra:1 Mem:33.94M (Peak 33.94M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gauge_cluster
Fra:1 Mem:33.97M (Peak 33.97M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | steering_rim
Fra:1 Mem:33.97M (Peak 33.97M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | steering_column
Fra:1 Mem:34.07M (Peak 34.07M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | steering_spoke
